Code,Name,Close,Location,Industry,List_date,Years,Profit,EPS1618,EPS1113,Book_Value,div,div2,PE1618,dir_rate,Growth,Growth2,liquidity_ratio,有形资产/债务,PB,Mkt_value
000001.SZ,平安银行,14.5,广东,银行,1991/4/3,28.93972603,1,1.336666667,2.316666667,12.82,是,1,10.8478803,10.03187061,-0.423021583,-42.30%,0,0,1.131045242,2.97E+11
000002.SZ,万  科Ａ,29.59,广东,房地产,1991/1/29,29.11506849,1,2.5,1.13,14.11,是,1,11.836,34.97472561,1.212389381,121.24%,1.200857157,5.460949381,2.097094259,3.13E+11
000004.SZ,国农科技,40.7,广东,医药生物,1991/1/14,29.15616438,0,0.109533333,0.015733333,1.3008,-,0,371.5763847,0,5.961864407,596.19%,2.068985193,-1.0104102,31.28843788,1671975778
000005.SZ,世纪星源,2.79,广东,公用事业,1990/12/10,29.25205479,0,0.0859,-0.003233333,1.4069,-,0,32.47962747,0,-27.56701031,-2756.70%,0.86064729,1.92074527,1.983083375,3101512947
000006.SZ,深振业Ａ,4.63,广东,房地产,1992/4/27,27.87123288,1,0.607033333,0.478133333,4.5909,是,1,7.627258251,30.11164377,0.269590073,26.96%,1.665170254,7.027855246,1.008516849,6911974636
000007.SZ,全 新 好,8.63,广东,商业贸易,1992/4/13,27.90958904,0,-0.061566667,0.055133333,0.5505,-,0,10000,0,-2.11668682,-211.67%,3.720542756,-42.18186474,15.67665758,3467944920
000008.SZ,神州高铁,3.12,北京,机械设备,1992/5/7,27.84383562,1,0.206333333,0.107566667,2.6298,是,1,15.12116317,8.498175179,0.91819027,91.82%,1.890284772,17.80998392,1.186402008,9760591664
000009.SZ,中国宝安,7.41,广东,综合,1991/6/25,28.71232877,1,0.09,0.21,2.4522,是,1,82.33333333,20.10795297,-0.571428571,-57.14%,1.641649845,0.357767724,3.021776364,11529086424
000010.SZ,美丽生态,3.46,广东,建筑装饰,1995/10/27,24.36986301,0,-0.712766667,0.013433333,0.5115,-,0,10000,0,-54.05955335,-5405.96%,1.542609202,2.669193313,6.764418377,2705520553
000011.SZ,深物业Ａ,7.63,广东,房地产,1992/3/30,27.94794521,1,0.8784,0.521566667,5.6008,是,1,8.686247723,30.16475999,0.684156707,68.42%,1.864827307,-1.022495427,1.362305385,5369771619
000012.SZ,南  玻Ａ,5.06,广东,建筑材料,1992/2/28,28.03287671,1,0.296666667,0.48,3.1793,是,1,17.05617978,31.19034632,-0.381944444,-38.19%,0.661975723,1.740067972,1.591545309,13582817232
000014.SZ,沙河股份,8.16,广东,房地产,1992/6/2,27.77260274,1,0.301133333,0.183466667,4.3866,是,1,27.09763117,9.118153591,0.641351744,64.14%,2.124266737,-25.00666121,1.860210641,1762903334
